,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
147,12/10,tempo_volume.csv,0.005171514443494671,0.09023841339053379,0.15415134029283473,44.29276269017489,3.8723407330874897,92.227766,8.411717215525796
148,13/10,tempo_volume.csv,0.0054677394588151405,0.07334924159568709,0.1548850201350194,46.91454208802165,4.6647431933418435,82.859454,7.121976758253701
149,14/10,tempo_volume.csv,0.004160761020382294,0.06619653080994284,0.16771543558574953,54.766883886255904,6.511476677966218,114.994606,10.868870928698644
150,15/10,tempo_volume.csv,0.0035930971470808652,0.07706670894326129,0.17295964913903975,63.129774072081766,7.353800329568051,138.868222,13.13085544961674
151,18/10,tempo_volume.csv,0.0022339562632242463,0.0665875528593885,0.17211324471869885,94.79870387514879,13.643395062666002,218.22116,21.577874471535267
152,19/10,tempo_volume.csv,0.003076044896605347,0.07233242504451193,0.162644019202011,71.42106638787246,7.6210078608790095,153.441698,14.636685398857178
153,20/10,tempo_volume.csv,0.003714853074391955,0.07689879756478035,0.18551503917413056,52.202386751095965,6.0725315531554225,143.489828,15.362386142973234
154,21/10,tempo_volume.csv,0.004257944906381054,0.08211343864811285,0.17294687769359146,48.62171398527865,12.405543725272278,120.204184,12.054421621055123
155,22/10,tempo_volume.csv,0.0031820207870479826,0.06834136511876825,0.23651422425741295,51.922166321396865,7.327349676790922,200.099026,26.316704042068476
156,25/10,tempo_volume.csv,0.004645312593958588,0.05541125541125541,0.19465489628598026,36.204312865497066,3.045570239017583,112.01386,13.092282777107155
157,26/10,tempo_volume.csv,0.00405361971043432,0.06611719981691501,0.14061807946638533,44.240255591054314,3.365641960035702,103.49988,9.873087331514236
158,28/10,tempo_volume.csv,0.005543988525347275,0.0671230951054558,0.18154386385415208,37.21204224386231,6.80467240427432,92.949904,9.497846277876254
159,29/10,tempo_volume.csv,0.004565558423953951,0.08822515940339985,0.16273664448561617,43.61042793900639,5.535870979126968,108.817444,10.884750844902326
160,1/10,tempo_volume_prezzo.csv,0.005269490610161668,0.06257932239466842,0.16336017289305543,38.0429172510519,7.261730093948644,89.032322,8.711687166501479
161,4/10,tempo_volume_prezzo.csv,0.004823014995865788,0.07326845368684487,0.16398372660862331,47.15006483555346,9.832316481465025,100.619714,9.38230497027746
162,5/10,tempo_volume_prezzo.csv,0.0032938794753849887,0.07657337454089015,0.17604131919863175,71.28600777753319,9.05763453240254,160.27143,15.018781079953534
163,6/10,tempo_volume_prezzo.csv,0.001637393690145643,0.060237672995108765,0.18205682337831677,151.2275723703067,26.366326254479393,303.101646,28.5444802733332
164,7/10,tempo_volume_prezzo.csv,0.0020668884732141526,0.08449594743381011,0.14679974473727525,126.51283388377078,12.75029909051825,217.438498,18.138164405088403
165,8/10,tempo_volume_prezzo.csv,0.0023550048804592927,0.07685680801193268,0.1543445498621671,93.74254495788753,12.014150497636187,193.234424,17.732977652300608
166,11/10,tempo_volume_prezzo.csv,0.0032896138628068458,0.09578287119390913,0.18652406902472138,71.08870281010502,6.142190827531891,167.762224,16.69530429391363
167,12/10,tempo_volume_prezzo.csv,0.00536288718107666,0.08397998774760058,0.15545128283225917,44.29276269017489,3.8723407330874897,89.772736,7.997969863349316
168,13/10,tempo_volume_prezzo.csv,0.005584959322731647,0.06773367250545674,0.15714230592776707,46.91454208802165,4.6647431933418435,80.600934,6.862670740498875
169,14/10,tempo_volume_prezzo.csv,0.0042928782084176885,0.0576703984286537,0.17076407142821012,54.766883886255904,6.511476677966218,110.136412,10.210960852311748
170,15/10,tempo_volume_prezzo.csv,0.0037192497741884065,0.07240888402656512,0.17333473803638721,63.129774072081766,7.353800329568051,132.902146,12.496434044227483
171,18/10,tempo_volume_prezzo.csv,0.0022985352986707717,0.06171944052120826,0.1728561600697033,94.79870387514879,13.643395062666002,210.481834,20.394537084089105
172,19/10,tempo_volume_prezzo.csv,0.0031697065200596763,0.06632338761517036,0.16414242240098276,71.42106638787246,7.6210078608790095,145.60482,13.57823470620962
173,20/10,tempo_volume_prezzo.csv,0.0038367086110402382,0.0687671808245542,0.190010305341319,52.202386751095965,6.0725315531554225,137.520494,14.658002565632142
174,21/10,tempo_volume_prezzo.csv,0.004346983336088799,0.07395150535873098,0.1765633919396113,48.62171398527865,12.405543725272278,117.482524,11.758698547627754
175,22/10,tempo_volume_prezzo.csv,0.0032840570830697108,0.05725606530510637,0.24373891267448475,51.922166321396865,7.327349676790922,194.737638,25.233127777219273
176,25/10,tempo_volume_prezzo.csv,0.004812170086557675,0.0466388018112156,0.19733350990120083,36.204312865497066,3.045570239017583,108.846784,12.627438295410348
177,26/10,tempo_volume_prezzo.csv,0.0041315739356349804,0.06020792297325316,0.14168990116899402,44.240255591054314,3.365641960035702,100.746846,9.669504614955153
178,28/10,tempo_volume_prezzo.csv,0.005731074752299376,0.05879300972545897,0.18497120725201147,37.21204224386231,6.80467240427432,87.326196,8.714505343690298
179,29/10,tempo_volume_prezzo.csv,0.0047743587068242,0.07901243609837555,0.16574325683589794,43.61042793900639,5.535870979126968,103.16893,10.354951421906232
